,x,y,size,detectedArea,rank
0,700.8,33.2,5.7,A (通常),中欠点 (中/ 軽 )
1,827.3,33.6,1.5,A (通常),軽欠点 (軽 )
2,700.8,33.9,8.2,A (通常),重欠点 (重/ 中/ 軽 )
3,700.8,34.4,6.4,A (通常),重欠点 (重/ 中/ 軽 )
4,700.8,34.9,6.5,A (通常),重欠点 (重/ 中/ 軽 )
5,700.8,35.5,6.4,A (通常),重欠点 (重/ 中/ 軽 )
6,885.7,37.6,1.5,A (通常),軽欠点 (軽 )
7,914.8,44.6,1.5,A (通常),軽欠点 (軽 )
8,807.8,45.1,3.6,A (通常),重欠点 (重/ 中/ 軽 )
9,414.3,45.7,2.6,A (通常),重欠点 (重/ 中/ 軽 )
10,356.0,46.1,1.6,A (通常),軽欠点 (軽 )
11,570.0,46.6,2.6,A (通常),中欠点 (中/ 軽 )
12,768.9,47.1,4.1,A (通常),重欠点 (重/ 中/ 軽 )
13,798.1,47.8,4.6,A (通常),重欠点 (重/ 中/ 軽 )
14,934.3,48.1,2.0,A (通常),中欠点 (中/ 軽 )
15,934.3,48.6,2.8,A (通常),重欠点 (重/ 中/ 軽 )
16,730.0,51.7,2.9,A (通常),中欠点 (中/ 軽 )
17,720.3,52.5,2.3,A (通常),中欠点 (中/ 軽 )
18,875.9,53.7,5.9,A (通常),重欠点 (重/ 中/ 軽 )
19,671.7,61.1,4.0,A (通常),中欠点 (中/ 軽 )
20,875.9,62.4,4.5,A (通常),重欠点 (重/ 中/ 軽 )
21,540.8,64.0,3.1,A (通常),中欠点 (中/ 軽 )
22,501.9,67.0,1.5,A (通常),軽欠点 (軽 )
23,671.7,67.3,1.9,A (通常),軽欠点 (軽 )
24,492.1,68.0,3.2,A (通常),重欠点 (重/ 中/ 軽 )
25,492.1,68.8,3.0,A (通常),重欠点 (重/ 中/ 軽 )
26,895.4,69.3,4.1,A (通常),重欠点 (重/ 中/ 軽 )
27,895.4,70.1,1.6,A (通常),軽欠点 (軽 )
28,433.8,71.3,2.6,A (通常),中欠点 (中/ 軽 )
29,433.8,71.3,2.6,A (通常),中欠点 (中/ 軽 )
30,424.1,72.1,5.9,A (通常),重欠点 (重/ 中/ 軽 )
31,424.1,72.6,4.1,A (通常),重欠点 (重/ 中/ 軽 )
32,414.3,73.0,1.6,A (通常),軽欠点 (軽 )
33,424.1,73.6,4.0,A (通常),重欠点 (重/ 中/ 軽 )
34,885.7,74.3,1.6,A (通常),軽欠点 (軽 )
35,662.0,74.4,2.6,A (通常),重欠点 (重/ 中/ 軽 )
36,492.1,75.1,2.9,A (通常),中欠点 (中/ 軽 )
37,375.4,75.6,3.6,A (通常),重欠点 (重/ 中/ 軽 )
38,662.0,75.9,7.9,A (通常),重欠点 (重/ 中/ 軽 )
39,895.4,76.6,5.4,A (通常),重欠点 (重/ 中/ 軽 )
40,905.1,77.0,9.1,A (通常),重欠点 (重/ 中/ 軽 )
41,895.4,77.6,5.6,A (通常),重欠点 (重/ 中/ 軽 )
42,365.7,78.2,2.0,A (通常),軽欠点 (軽 )
43,579.7,78.7,2.5,A (通常),中欠点 (中/ 軽 )
44,365.7,79.5,5.3,A (通常),重欠点 (重/ 中/ 軽 )
45,365.7,80.0,5.6,A (通常),重欠点 (重/ 中/ 軽 )
46,589.4,80.4,2.1,A (通常),軽欠点 (軽 )
47,875.9,86.2,2.7,A (通常),重欠点 (重/ 中/ 軽 )
48,394.9,92.5,2.0,A (通常),中欠点 (中/ 軽 )
49,618.6,99.3,2.0,A (通常),軽欠点 (軽 )
50,608.9,100.2,1.7,A (通常),軽欠点 (軽 )
51,618.6,101.0,2.9,A (通常),重欠点 (重/ 中/ 軽 )
52,778.7,101.3,1.8,A (通常),軽欠点 (軽 )
53,618.6,101.9,2.9,A (通常),中欠点 (中/ 軽 )
54,778.7,102.2,5.8,A (通常),重欠点 (重/ 中/ 軽 )
55,599.1,103.1,2.3,A (通常),中欠点 (中/ 軽 )
56,599.1,103.6,1.6,A (通常),軽欠点 (軽 )
57,385.1,103.8,2.1,A (通常),中欠点 (中/ 軽 )
58,375.4,104.3,3.5,A (通常),重欠点 (重/ 中/ 軽 )
59,375.4,104.8,3.4,A (通常),重欠点 (重/ 中/ 軽 )
60,375.4,105.3,3.4,A (通常),重欠点 (重/ 中/ 軽 )
61,404.6,106.0,3.4,A (通常),重欠点 (重/ 中/ 軽 )
62,414.3,106.9,2.8,A (通常),重欠点 (重/ 中/ 軽 )
63,570.0,107.5,3.1,A (通常),重欠点 (重/ 中/ 軽 )
64,579.7,108.4,2.8,A (通常),重欠点 (重/ 中/ 軽 )
65,827.3,108.8,2.0,A (通常),軽欠点 (軽 )
66,817.6,109.7,3.4,A (通常),重欠点 (重/ 中/ 軽 )
67,375.4,110.0,2.1,A (通常),軽欠点 (軽 )
68,827.3,110.5,1.5,A (通常),軽欠点 (軽 )
69,365.7,110.8,4.6,A (通常),重欠点 (重/ 中/ 軽 )
70,817.6,111.4,2.7,A (通常),重欠点 (重/ 中/ 軽 )
71,365.7,112.1,1.9,A (通常),軽欠点 (軽 )
72,817.6,112.4,2.1,A (通常),軽欠点 (軽 )
73,356.0,113.0,3.5,A (通常),重欠点 (重/ 中/ 軽 )
74,365.7,113.8,2.4,A (通常),中欠点 (中/ 軽 )
75,356.0,113.9,4.4,A (通常),重欠点 (重/ 中/ 軽 )
76,356.0,114.4,7.1,A (通常),重欠点 (重/ 中/ 軽 )
77,356.0,114.9,7.1,A (通常),重欠点 (重/ 中/ 軽 )
78,356.0,115.4,7.2,A (通常),重欠点 (重/ 中/ 軽 )
79,905.1,115.9,1.5,A (通常),軽欠点 (軽 )
80,394.9,119.5,7.2,A (通常),重欠点 (重/ 中/ 軽 )
81,895.4,120.4,8.3,A (通常),重欠点 (重/ 中/ 軽 )
82,385.1,120.4,1.6,A (通常),軽欠点 (軽 )
83,895.4,120.9,1.5,A (通常),軽欠点 (軽 )
84,895.4,121.4,1.5,A (通常),軽欠点 (軽 )
85,618.6,122.2,3.7,A (通常),重欠点 (重/ 中/ 軽 )
86,628.3,123.1,4.7,A (通常),重欠点 (重/ 中/ 軽 )
87,934.3,126.8,1.9,A (通常),軽欠点 (軽 )
88,739.8,133.0,1.5,A (通常),軽欠点 (軽 )
89,671.7,134.2,1.9,A (通常),軽欠点 (軽 )
90,700.8,136.5,2.6,A (通常),重欠点 (重/ 中/ 軽 )
91,647.8,142.1,5.0,A (通常),重欠点 (重/ 中/ 軽 )
92,482.4,144.8,3.1,A (通常),重欠点 (重/ 中/ 軽 )
93,501.9,145.6,2.8,A (通常),重欠点 (重/ 中/ 軽 )
94,570.0,145.9,4.1,A (通常),軽欠点 (軽 )
95,492.1,146.5,1.9,A (通常),軽欠点 (軽 )
96,934.3,146.8,3.8,A (通常),重欠点 (重/ 中/ 軽 )
97,934.3,147.7,1.8,A (通常),軽欠点 (軽 )
98,759.2,151.1,4.2,A (通常),重欠点 (重/ 中/ 軽 )
99,570.0,159.3,6.0,A (通常),軽欠点 (軽 )
100,453.2,160.1,2.4,A (通常),軽欠点 (軽 )
101,579.7,160.4,3.3,A (通常),軽欠点 (軽 )
102,924.6,161.3,2.2,A (通常),軽欠点 (軽 )
103,934.3,164.0,1.5,A (通常),軽欠点 (軽 )
104,924.6,165.7,1.7,A (通常),軽欠点 (軽 )
105,570.0,167.7,2.1,A (通常),軽欠点 (軽 )
106,394.9,172.2,1.7,A (通常),軽欠点 (軽 )
107,394.9,173.9,2.3,A (通常),軽欠点 (軽 )
108,443.5,174.5,2.7,A (通常),軽欠点 (軽 )
109,924.6,175.4,2.7,A (通常),重欠点 (重/ 中/ 軽 )
110,570.0,175.8,3.0,A (通常),軽欠点 (軽 )
111,570.0,176.0,2.8,A (通常),軽欠点 (軽 )
112,570.0,176.5,4.8,A (通常),中欠点 (中/ 軽 )
113,560.2,183.6,1.7,A (通常),軽欠点 (軽 )
114,394.9,184.0,1.5,A (通常),軽欠点 (軽 )
115,404.6,184.2,2.4,A (通常),軽欠点 (軽 )
116,433.8,185.4,4.5,A (通常),重欠点 (重/ 中/ 軽 )
117,570.0,185.6,2.3,A (通常),軽欠点 (軽 )
118,570.0,186.1,6.7,A (通常),中欠点 (中/ 軽 )
119,453.2,187.2,1.8,A (通常),軽欠点 (軽 )
120,934.3,189.6,1.6,A (通常),軽欠点 (軽 )
121,570.0,190.4,1.8,A (通常),軽欠点 (軽 )
122,570.0,190.7,7.2,A (通常),中欠点 (中/ 軽 )
123,570.0,191.2,6.3,A (通常),中欠点 (中/ 軽 )
124,579.7,192.2,2.0,A (通常),軽欠点 (軽 )
125,895.4,194.7,2.9,A (通常),中欠点 (中/ 軽/ スジ )
126,453.2,199.4,2.3,A (通常),軽欠点 (軽 )
127,453.2,200.2,4.7,A (通常),軽欠点 (軽 )
128,443.5,200.4,5.1,A (通常),中欠点 (中/ 軽 )
129,560.2,201.0,2.6,A (通常),中欠点 (中/ 軽 )
130,638.0,201.4,1.5,A (通常),軽欠点 (軽 )
131,404.6,201.9,2.0,A (通常),軽欠点 (軽 )
132,570.0,203.5,1.5,A (通常),軽欠点 (軽 )
133,453.2,205.8,2.0,A (通常),軽欠点 (軽 )
134,647.8,206.0,3.0,A (通常),軽欠点 (軽 )
135,570.0,206.6,1.5,A (通常),軽欠点 (軽 )
136,404.6,209.6,2.2,A (通常),軽欠点 (軽 )
137,414.3,210.0,1.6,A (通常),軽欠点 (軽 )
138,414.3,210.5,2.0,A (通常),軽欠点 (軽 )
139,638.0,218.1,1.5,A (通常),軽欠点 (軽 )
140,394.9,218.6,2.9,A (通常),軽欠点 (軽 )
141,404.6,219.1,1.8,A (通常),軽欠点 (軽 )
